image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
craft_cards,4,xyz,0.276251,18.028984,0.567736,12.156607,0.220808,0.462523
craft_cards,16,luv,0.404644,30.466233,0.789758,1.792262,0.055834,0.300309
craft_cards,16,rgb,0.437953,32.056660,0.900593,1.557380,0.046821,0.288684
craft_cards,16,xyz,0.398425,29.098354,0.763449,2.074529,0.040274,0.276903
craft_cards,64,luv,0.581154,35.221427,0.940293,0.816506,0.009621,0.102165
craft_cards,64,rgb,0.652566,37.994801,0.966109,0.813855,0.005668,0.084044
craft_cards,64,xyz,0.568037,33.223665,0.835271,1.220687,0.009464,0.073258
craft_cards,256,luv,0.704806,39.314577,0.970430,0.460251,0.004050,0.037167
craft_cards,256,rgb,0.801212,42.985807,0.987967,0.494761,0.001142,0.016754
craft_cards,256,xyz,0.701402,38.074366,0.970050,0.623289,0.003483,0.028275
crepe_paper,4,luv,0.074528,15.750043,0.565169,13.055659,0.515549,0.564391
crepe_paper,4,rgb,0.111524,17.667097,0.673413,14.743102,0.400670,0.549938
crepe_paper,4,xyz,0.095841,14.588247,0.482896,19.952261,0.467034,0.633368
crepe_paper,16,luv,0.259580,30.350616,0.826069,1.946417,0.153059,0.301217
crepe_paper,16,rgb,0.263562,31.625601,0.860274,2.011520,0.172631,0.347229
crepe_paper,16,xyz,0.261496,25.771398,0.731286,2.915354,0.181766,0.339416
crepe_paper,64,luv,0.555491,38.012605,0.946266,0.780497,0.018518,0.061442
crepe_paper,64,rgb,0.587751,39.995648,0.968687,0.790576,0.008488,0.046360
crepe_paper,64,xyz,0.564504,35.490628,0.931266,0.968077,0.031009,0.075585
crepe_paper,256,luv,0.770330,44.119623,0.983313,0.346833,0.002504,0.014698
crepe_paper,256,rgb,0.805888,46.541773,0.988113,0.342743,0.001026,0.008146
crepe_paper,256,xyz,0.762646,41.551493,0.975950,0.445316,0.005845,0.018275
cruise_ship,4,luv,0.124298,18.424207,0.656347,10.565011,0.404231,0.513513
cruise_ship,4,rgb,0.177869,20.222768,0.713881,10.929522,0.372337,0.503524
cruise_ship,4,xyz,0.144514,18.481807,0.677565,12.537672,0.429193,0.549572
cruise_ship,16,luv,0.271850,24.457079,0.786082,5.589271,0.254213,0.394287
cruise_ship,16,rgb,0.334312,26.438040,0.829823,5.738353,0.226831,0.374598
cruise_ship,16,xyz,0.320358,24.948271,0.810549,6.504991,0.233080,0.393707
cruise_ship,64,luv,0.425679,29.253994,0.881958,3.187641,0.140627,0.279529
cruise_ship,64,rgb,0.515281,31.992493,0.916392,3.507090,0.106732,0.241140
