image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim19.png,mediancut,16,29.435,0.8757,87.1,91949
kodim19.png,maxcoverage,16,23.714,0.7002,39.4,54462
kodim19.png,fast,16,26.065,0.7951,5.7,75093
kodim19.png,kmeans,16,31.053,0.8883,344.6,86070
kodim19.png,som,16,22.955,0.7677,289.6,81299
kodim19.png,mediancut,32,31.836,0.9257,87.4,119363
kodim19.png,maxcoverage,32,25.475,0.7692,48.1,61928
kodim19.png,fast,32,27.659,0.8278,6.1,85349
kodim19.png,kmeans,32,33.936,0.9338,585.8,111600
kodim19.png,som,32,23.222,0.8352,651.3,109670
kodim19.png,mediancut,64,33.815,0.9546,67.4,161131
kodim19.png,maxcoverage,64,28.578,0.8027,63.2,88039
kodim19.png,fast,64,31.428,0.8905,5.0,142728
kodim19.png,kmeans,64,36.699,0.9596,849.5,144737
kodim19.png,som,64,22.062,0.8256,1217.9,154237
kodim19.png,mediancut,128,35.761,0.9702,81.5,207653
kodim19.png,maxcoverage,128,31.108,0.8521,65.7,124641
kodim19.png,fast,128,35.508,0.9418,5.0,170945
kodim19.png,kmeans,128,38.975,0.9733,1436.8,188387
kodim19.png,som,128,21.29,0.8192,2240.7,207838
