image,k,method,mse_ours,mse_gold,ratio,log_ratio
bosnian_pine_needle,256,MC,35.48958418104384,151.827,0.2337501510340311,-0.6312480998427169
bosnian_pine_needle,256,OCT,68.11122300889757,89.5725,0.7604032823567229,-0.1189560171270367
buggy,256,MC,18.411237928602432,72.7688,0.25301005277814714,-0.5968622227793517
buggy,256,OCT,18.348016526963974,30.5538,0.6005150432013031,-0.22147610883145696
calaveras,256,MC,122.11907535129123,393.25,0.3105380174222282,-0.507885224002734
calaveras,256,OCT,139.15958574083118,215.408,0.6460279364778986,-0.18974870120636736
carrots,256,MC,31.30377451578776,148.239,0.2111709773796893,-0.6753657699922124
carrots,256,OCT,46.167381286621094,66.8959,0.6901376808835982,-0.16106425986676512
chalk_pastels,256,MC,41.10370551215278,144.672,0.28411652228594875,-0.546503509927287
chalk_pastels,256,OCT,31.79041798909505,53.5186,0.594006905806487,-0.22620850596793687
chicken_dish,256,MC,34.13290659586588,150.947,0.22612510746067085,-0.6456512137437814
chicken_dish,256,OCT,47.753599378797745,81.2619,0.5876505395369509,-0.23088086077465017
chili_peppers,256,MC,68.28257242838542,273.047,0.25007625950252305,-0.6019275352044579
chili_peppers,256,OCT,135.63360680474176,163.433,0.8299034271214611,-0.08097244197142243
clownfish,256,MC,36.15861596001519,182.38,0.1982597651059063,-0.7027654127005631
clownfish,256,OCT,52.826294793023,81.4223,0.6487939396580912,-0.1878932154944065
color_chart,256,MC,91.50603654649522,310.088,0.29509699358406394,-0.5300352150222443
color_chart,256,OCT,76.49676344129774,124.582,0.6140274152068337,-0.21181223796754986
color_checker,256,MC,18.095720926920574,63.4813,0.2850559287053128,-0.5450699219384807
color_checker,256,OCT,11.951499091254341,20.5202,0.5824260529261089,-0.23475920651613702
coloring_pencils,256,MC,38.25215064154731,129.476,0.29543815565469517,-0.5295334165386671
coloring_pencils,256,OCT,31.21014658610026,61.1293,0.5105595285092461,-0.29195361421200167
columbia_crew,256,MC,21.602573818630642,90.8831,0.23769626936834948,-0.6239776344495824
columbia_crew,256,OCT,28.727986653645832,45.8484,0.6265864600214148,-0.20301899407212184
common_jezebel,256,MC,28.245345221625435,110.324,0.2560217651791581,-0.5917231124404863
common_jezebel,256,OCT,27.951554192437065,47.6672,0.5863896807959574,-0.23181368095356922
common_lantanas,256,MC,41.071984185112846,132.973,0.3088746150354797,-0.5102177828705476
common_lantanas,256,OCT,48.53889041476779,70.5173,0.6883259911364699,-0.16220583121042303
cosmic_vista,256,MC,39.771891276041664,163.558,0.2431668966118543,-0.6140955478094015
cosmic_vista,256,OCT,56.92812940809462,85.3012,0.6673778259636983,-0.17562822714120194
craft_cards,256,MC,16.241058349609375,57.1297,0.2842839775039844,-0.5462476168403186
craft_cards,256,OCT,10.914816962348091,16.307,0.6693332288187951,-0.17435761406056136
crepe_paper,256,MC,12.96301523844401,29.6002,0.4379367449694262,-0.3585886139127864
crepe_paper,256,OCT,7.198561774359809,6.99938,1.0284570596766869,0.012186163668298973
cruise_ship,256,MC,24.535938686794704,113.065,0.2170073735178411,-0.6635255093601977
cruise_ship,256,OCT,36.01280721028646,61.7298,0.583394198754677,-0.2340378937973484
curler,256,MC,29.257842169867622,108.254,0.27027031028754245,-0.568201659763662
curler,256,OCT,38.6229002210829,58.9491,0.6551906682389197,-0.18363229678061205
daisy_bouquet,256,MC,59.555995517306854,250.436,0.23780924274987164,-0.6237712699979838
daisy_bouquet,256,OCT,68.02979363335504,120.184,0.5660470081987207,-0.2471475006958774
daisy_poster,256,MC,21.01679144965278,89.9215,0.23372376405701395,-0.6312971281121236
daisy_poster,256,OCT,21.539377848307293,33.9284,0.6348480284454112,-0.19733022479717013
easter_egg_basket,256,MC,72.03321329752605,259.346,0.277749467111604,-0.556346765620981
easter_egg_basket,256,OCT,74.95382690429688,114.308,0.6557181203791237,-0.18328281469870225
easter_eggs,256,MC,40.68300543891059,176.148,0.23095922428248172,-0.6364646877799314
easter_eggs,256,OCT,59.15124766031901,92.6551,0.638402501970415,-0.19490541960561036
eastern_rosella,256,MC,59.145239935980904,183.158,0.3229192278578108,-0.4909060946423954
eastern_rosella,256,OCT,49.75271436903212,91.998,0.5408021301444826,-0.26696160643740324
felt_ball_trivet,256,MC,50.020373026529946,178.494,0.2802355991043393,-0.5524766959148446
felt_ball_trivet,256,OCT,93.89104376898871,115.274,0.814503216414705,-0.08910719635436705
fishing_nets,256,MC,51.79366217719184,202.462,0.2558191768193135,-0.5920669028806542
fishing_nets,256,OCT,103.6197526719835,135.955,0.7621621321171232,-0.11795263286786829
floating_market,256,MC,63.79731665717231,249.76,0.255434483733073,-0.5927204732274397
floating_market,256,OCT,72.7782211303711,124.943,0.582491385114581,-0.23471049334892485
fruit_dessert,256,MC,47.15933057996962,178.897,0.26361163451578074,-0.5790354260412349
fruit_dessert,256,OCT,48.97076416015625,85.6742,0.5715928968132326,-0.24291317682645722
fruit_stand,256,MC,64.69619411892361,299.059,0.21633254347444353,-0.6648781435833158
fruit_stand,256,OCT,121.24728902180989,155.37,0.7803777371552416,-0.10769512878103503
fruits,256,MC,54.01050482855903,218.863,0.24677768662843436,-0.6076941113010165
fruits,256,OCT,115.56036970350478,132.741,0.8705702812507421,-0.06019616248198342
fruits_veggies,256,MC,63.61608462863498,225.954,0.2815444056251935,-0.5504530978035141
fruits_veggies,256,OCT,81.31572723388672,117.207,0.6937787609433458,-0.15877899960248343
german_hot_air_balloon,256,MC,31.407627529568142,70.4671,0.44570625908499345,-0.35095126704241286
german_hot_air_balloon,256,OCT,21.061072455512154,33.1723,0.6348993725340767,-0.19729510213516552
girl,256,MC,19.133169386121963,82.2805,0.23253589108138578,-0.6335100058036546
girl,256,OCT,19.859476725260418,35.5098,0.5592674902494641,-0.2523804251123293
gourds,256,MC,47.3991453382704,213.024,0.22250612765824695,-0.652658024361614
gourds,256,OCT,97.23416731092665,122.904,0.7911391599209681,-0.10174711818355939
grilled_food,256,MC,60.42721727159288,230.669,0.26196505499912376,-0.5817566378147583
grilled_food,256,OCT,112.1344011094835,137.1,0.8179022692157806,-0.08729858688613605
hard_candy,256,MC,57.10545349121094,237.752,0.24018916135809976,-0.6194465942210953
hard_candy,256,OCT,98.6047854953342,126.703,0.7782356021193989,-0.10888890531032011
italian_hot_air_balloon,256,MC,38.356662326388886,123.347,0.31096550646865256,-0.5072877819735961
italian_hot_air_balloon,256,OCT,52.11687723795573,72.7314,0.7165663968788685,-0.14474356177451156
jacksons_chameleon,256,MC,52.44056955973307,263.052,0.19935438453132107,-0.7003742081740553
jacksons_chameleon,256,OCT,82.47972785101996,118.944,0.6934332782739773,-0.15899532012993026
king_penguin,256,MC,25.31076982286241,90.2807,0.2803563754253391,-0.5522895634086744
king_penguin,256,OCT,21.45353020562066,39.7013,0.5403734942085185,-0.26730596165092185
king_vulture,256,MC,43.45865122477213,180.046,0.24137526645841692,-0.6173072337869404
king_vulture,256,OCT,97.47337510850694,120.353,0.8098956827707406,-0.09157091607763078
