image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
kodim14,256,luv,0.648356,34.663781,0.953660,1.752600,0.019003,0.074394
kodim14,256,rgb,0.761502,38.227636,0.979623,2.015460,0.011235,0.038961
kodim14,256,xyz,0.733429,35.081316,0.967934,2.734949,0.025449,0.057876
kodim15,4,luv,0.121800,20.999901,0.668004,7.953614,0.426356,0.548509
kodim15,4,rgb,0.146886,21.854601,0.692248,8.090101,0.420247,0.544537
kodim15,4,xyz,0.167331,20.040085,0.673883,10.482794,0.448432,0.546249
kodim15,16,luv,0.268793,26.854322,0.776227,4.174276,0.264785,0.437072
kodim15,16,rgb,0.358842,28.973060,0.831567,4.467477,0.206296,0.395329
kodim15,16,xyz,0.313548,25.657951,0.746673,5.983509,0.294370,0.431094
kodim15,64,luv,0.418874,31.768552,0.864143,2.289889,0.134780,0.307233
kodim15,64,rgb,0.549811,34.425339,0.925284,2.570354,0.066623,0.190909
kodim15,64,xyz,0.511317,31.695092,0.896119,3.499650,0.092460,0.217263
kodim15,256,luv,0.579415,36.206714,0.934478,1.388188,0.038365,0.143624
kodim15,256,rgb,0.703908,39.309946,0.969749,1.516593,0.012537,0.066600
kodim15,256,xyz,0.642446,35.355218,0.944692,2.462772,0.035770,0.094812
kodim16,4,luv,0.147343,23.107490,0.679721,6.273264,0.407445,0.574950
kodim16,4,rgb,0.236551,25.025652,0.742694,6.382829,0.369067,0.553101
kodim16,4,xyz,0.184120,24.083534,0.688541,6.729378,0.429597,0.575695
kodim16,16,luv,0.397096,30.799815,0.854632,2.898450,0.183391,0.378176
kodim16,16,rgb,0.480648,32.460103,0.892139,2.901402,0.155720,0.323988
kodim16,16,xyz,0.499352,31.593445,0.898621,3.446119,0.169533,0.323590
kodim16,64,luv,0.594897,36.345590,0.939011,1.750394,0.070727,0.201395
kodim16,64,rgb,0.716309,39.192541,0.969681,1.815212,0.039848,0.119653
kodim16,64,xyz,0.683559,36.362436,0.964153,2.171582,0.047843,0.119421
kodim16,256,luv,0.722740,40.198704,0.969052,1.081556,0.028003,0.103247
kodim16,256,rgb,0.845769,43.958758,0.988279,1.290022,0.009252,0.036662
kodim16,256,xyz,0.825420,42.258101,0.987076,1.522797,0.013020,0.042870
kodim17,4,luv,0.175922,22.678838,0.648432,6.470388,0.431823,0.589889
kodim17,4,rgb,0.254923,24.803245,0.717489,5.845948,0.367279,0.549727
kodim17,4,xyz,0.241798,22.174995,0.653209,7.209373,0.406975,0.570823
kodim17,16,luv,0.384331,29.932672,0.828272,3.136450,0.233701,0.459218
kodim17,16,rgb,0.501964,32.055786,0.889435,3.266913,0.171485,0.372370
kodim17,16,xyz,0.490559,30.012802,0.870489,4.053224,0.185516,0.364698
kodim17,64,luv,0.593299,35.430628,0.931384,2.028298,0.074312,0.224802
kodim17,64,rgb,0.709535,37.990470,0.965195,2.132698,0.037348,0.107507
kodim17,64,xyz,0.658524,35.479880,0.941741,2.623981,0.107771,0.215382
kodim17,256,luv,0.735267,39.609922,0.970219,1.265581,0.022954,0.082035
kodim17,256,rgb,0.830502,42.794254,0.985805,1.481031,0.010438,0.038288
kodim17,256,xyz,0.798053,40.602527,0.977899,1.796954,0.027703,0.086868
kodim18,4,luv,0.130762,20.700744,0.576562,8.952694,0.452112,0.611042
kodim18,4,rgb,0.257420,23.074122,0.717533,10.321095,0.412975,0.555879
kodim18,4,xyz,0.152706,21.041757,0.610072,11.423647,0.520311,0.634996
kodim18,16,luv,0.301155,26.225065,0.777457,5.091370,0.190822,0.402712
kodim18,16,rgb,0.424219,28.876081,0.870687,5.796574,0.143501,0.297909
kodim18,16,xyz,0.406344,27.283651,0.843672,7.965560,0.249417,0.387340
kodim18,64,luv,0.465363,30.682940,0.892627,3.000815,0.068114,0.185520
kodim18,64,rgb,0.584506,33.756823,0.944118,3.435247,0.037626,0.105424
kodim18,64,xyz,0.548060,30.970266,0.927576,5.704966,0.100887,0.174938
kodim18,256,luv,0.612441,34.661785,0.950437,1.915232,0.020998,0.071180
kodim18,256,rgb,0.721548,38.032295,0.976457,2.311955,0.012186,0.037049
kodim18,256,xyz,0.667460,35.285214,0.964050,3.366151,0.029166,0.065764
kodim19,4,luv,0.163915,22.807430,0.672717,6.628993,0.448366,0.587073
kodim19,4,rgb,0.221382,24.023744,0.709647,6.992575,0.430289,0.567580
kodim19,4,xyz,0.211165,23.544136,0.681022,7.233532,0.456868,0.573599
kodim19,16,luv,0.354893,28.833384,0.833285,3.455815,0.201138,0.392766
kodim19,16,rgb,0.471718,30.912263,0.887975,3.781084,0.183811,0.329478
kodim19,16,xyz,0.461584,29.598482,0.879180,4.014132,0.172560,0.355662
kodim19,64,luv,0.527092,33.784279,0.917113,2.120988,0.074518,0.227396
kodim19,64,rgb,0.659167,36.722189,0.958436,2.296142,0.046117,0.133996
kodim19,64,xyz,0.670368,35.151085,0.958475,2.843207,0.062877,0.143339
kodim19,256,luv,0.668824,37.821336,0.959595,1.372008,0.026923,0.105082
kodim19,256,rgb,0.791942,41.260764,0.982923,1.587758,0.012318,0.041703
kodim19,256,xyz,0.774631,38.521138,0.980413,2.198281,0.024834,0.061872
kodim20,4,luv,0.185908,21.611979,0.751328,5.902709,0.334210,0.456689
kodim20,4,rgb,0.231703,23.537974,0.800983,6.538420,0.226963,0.441619
kodim20,4,xyz,0.130555,21.022875,0.704667,7.053311,0.407127,0.485332
kodim20,16,luv,0.371440,30.066821,0.874938,2.665543,0.126769,0.277242
kodim20,16,rgb,0.457973,31.731517,0.906210,3.005328,0.123779,0.248520
kodim20,16,xyz,0.419810,28.829740,0.892059,3.225179,0.111085,0.244277
kodim20,64,luv,0.546074,34.954575,0.940929,1.456343,0.040340,0.114212
kodim20,64,rgb,0.658888,37.876790,0.967653,1.649262,0.023301,0.079872
kodim20,64,xyz,0.625833,35.236682,0.959799,1.886864,0.034662,0.095714
kodim20,256,luv,0.706757,39.641968,0.975709,0.889741,0.010248,0.044190
kodim20,256,rgb,0.795409,42.822225,0.987814,1.061235,0.005645,0.025436
kodim20,256,xyz,0.768532,39.927633,0.984077,1.245047,0.014750,0.038961
kodim21,4,luv,0.147656,20.296115,0.687980,7.517715,0.408391,0.589978
kodim21,4,rgb,0.244506,23.182437,0.803520,8.424585,0.344328,0.537168
kodim21,4,xyz,0.222201,22.633829,0.777536,8.731464,0.371456,0.556472
kodim21,16,luv,0.358217,29.015266,0.860589,3.518737,0.197018,0.397479
kodim21,16,rgb,0.440187,30.651775,0.889868,3.641398,0.167681,0.341379
kodim21,16,xyz,0.425779,29.275315,0.875215,4.503014,0.178162,0.345400
kodim21,64,luv,0.515401,33.555417,0.922241,2.162218,0.090768,0.220715
kodim21,64,rgb,0.632566,36.416517,0.953074,2.339441,0.048569,0.137454
kodim21,64,xyz,0.598918,33.961707,0.943426,2.844922,0.060128,0.154112
kodim21,256,luv,0.662094,37.770375,0.960745,1.385601,0.025885,0.109680
kodim21,256,rgb,0.784838,41.236580,0.982765,1.620527,0.012149,0.044356
kodim21,256,xyz,0.758313,39.304479,0.979432,1.903759,0.022089,0.059500
kodim22,4,luv,0.104760,20.218812,0.575925,9.199139,0.473361,0.593693
kodim22,4,rgb,0.237476,22.265652,0.722801,10.625213,0.453934,0.571537
kodim22,4,xyz,0.202148,22.267010,0.679292,10.939199,0.462376,0.615978
kodim22,16,luv,0.239978,25.851544,0.741077,4.923454,0.249166,0.438847
kodim22,16,rgb,0.372401,28.670790,0.837664,5.261395,0.174772,0.357693
kodim22,16,xyz,0.379082,26.836486,0.846546,7.626296,0.225801,0.392232
kodim22,64,luv,0.396946,30.567150,0.852295,2.974737,0.116919,0.270133
kodim22,64,rgb,0.548294,33.998681,0.929009,3.410312,0.058106,0.153535
kodim22,64,xyz,0.526401,31.622377,0.917884,4.823356,0.082691,0.175184
kodim22,256,luv,0.551074,34.730293,0.925123,1.859033,0.044494,0.134909
kodim22,256,rgb,0.687428,38.269287,0.967415,2.169329,0.016763,0.055658
kodim22,256,xyz,0.660379,35.747697,0.961339,3.218620,0.035087,0.075957
kodim23,4,luv,0.047781,15.082982,0.631228,13.122069,0.474009,0.620354
kodim23,4,rgb,0.085297,19.265946,0.693915,12.337340,0.479799,0.622244
kodim23,4,xyz,0.134430,17.863514,0.700906,15.970318,0.621893,0.716009
kodim23,16,luv,0.163125,24.010215,0.721814,5.310168,0.397068,0.542739
kodim23,16,rgb,0.255406,26.492886,0.771195,5.576206,0.374674,0.527300
kodim23,16,xyz,0.259065,23.656479,0.744590,9.724565,0.432241,0.582624
kodim23,64,luv,0.286610,28.690229,0.785674,3.134657,0.316779,0.471851
kodim23,64,rgb,0.431317,31.875237,0.863536,3.364466,0.195753,0.409669
kodim23,64,xyz,0.408345,28.971934,0.839561,4.706529,0.228131,0.398203
kodim23,256,luv,0.452650,33.235428,0.873717,1.876823,0.173672,0.357420
kodim23,256,rgb,0.596942,36.720909,0.934761,2.071142,0.052106,0.202805
kodim23,256,xyz,0.566688,33.430083,0.912966,2.842014,0.068079,0.174141
kodim24,4,luv,0.210535,21.372193,0.677350,8.490393,0.370641,0.488874
kodim24,4,rgb,0.293994,24.052065,0.767063,7.786973,0.304016,0.439633
kodim24,4,xyz,0.264101,23.047183,0.719465,8.378137,0.360001,0.481453
kodim24,16,luv,0.384022,27.337540,0.837414,4.490685,0.151238,0.294366
kodim24,16,rgb,0.532428,30.005298,0.922754,5.578869,0.122095,0.226967
kodim24,16,xyz,0.497695,29.158228,0.897739,5.736287,0.147747,0.260069
kodim24,64,luv,0.539956,31.976547,0.921502,2.699939,0.054420,0.164754
kodim24,64,rgb,0.653128,35.015070,0.957698,3.176011,0.041325,0.110666
kodim24,64,xyz,0.659361,33.075194,0.959392,4.419500,0.077708,0.135214
kodim24,256,luv,0.667196,36.095740,0.961136,1.694695,0.020641,0.084507
kodim24,256,rgb,0.783802,39.562627,0.983454,2.086787,0.013368,0.039354
kodim24,256,xyz,0.758296,36.866204,0.979430,3.157428,0.037070,0.065080
