image,k,space,vifp,psnr,ssim,dE00
easter_egg_basket,4,rgb,0.155866,18.377365,0.612034,13.446289
easter_egg_basket,4,xyz,0.114118,16.822589,0.524655,15.822338
easter_egg_basket,16,luv,0.195003,21.608720,0.645489,6.722912
easter_egg_basket,16,rgb,0.289117,24.080008,0.727709,7.601333
easter_egg_basket,16,xyz,0.282959,21.550365,0.697739,9.565199
easter_egg_basket,64,luv,0.338882,25.616169,0.758251,3.982732
easter_egg_basket,64,rgb,0.453016,29.134986,0.852625,4.220636
easter_egg_basket,64,xyz,0.402983,25.835034,0.805376,6.142175
easter_egg_basket,256,luv,0.480448,29.714610,0.849487,2.424174
easter_egg_basket,256,rgb,0.595134,33.688399,0.923746,2.631028
easter_egg_basket,256,xyz,0.528524,29.620873,0.882714,3.968343
easter_eggs,4,luv,0.048677,12.538018,0.606289,18.023098
easter_eggs,4,rgb,0.096234,15.824811,0.635690,16.703967
easter_eggs,4,xyz,0.103673,13.289217,0.598569,20.737748
easter_eggs,16,luv,0.161659,21.386240,0.652968,6.584617
easter_eggs,16,rgb,0.191599,23.630432,0.694821,6.371814
easter_eggs,16,xyz,0.202091,20.001849,0.648680,9.292668
easter_eggs,64,luv,0.288604,26.894127,0.726561,3.253893
easter_eggs,64,rgb,0.345461,29.765673,0.796131,3.182111
easter_eggs,64,xyz,0.367087,26.237365,0.753801,4.347124
easter_eggs,256,luv,0.440218,31.400470,0.823339,1.679285
easter_eggs,256,rgb,0.521327,35.288249,0.897044,1.742005
easter_eggs,256,xyz,0.522905,29.760900,0.828455,2.559191
eastern_rosella,4,luv,0.084696,17.666670,0.608184,10.128465
eastern_rosella,4,rgb,0.214061,20.321918,0.777052,9.843553
eastern_rosella,4,xyz,0.176964,18.923815,0.737694,12.082532
eastern_rosella,16,luv,0.240804,23.427547,0.783463,5.300097
eastern_rosella,16,rgb,0.343890,25.969241,0.845770,5.971965
eastern_rosella,16,xyz,0.320592,24.098852,0.832721,6.779236
eastern_rosella,64,luv,0.370640,27.186318,0.858354,3.345747
eastern_rosella,64,rgb,0.486106,30.522595,0.909478,3.810914
eastern_rosella,64,xyz,0.453904,27.538739,0.895898,4.759046
eastern_rosella,256,luv,0.496854,30.899311,0.912913,2.145934
eastern_rosella,256,rgb,0.616884,34.774888,0.953734,2.385831
eastern_rosella,256,xyz,0.567414,30.866654,0.936798,3.464237
felt_ball_trivet,4,luv,0.066699,14.869476,0.445417,17.656521
felt_ball_trivet,4,rgb,0.079324,17.308927,0.474787,16.340785
felt_ball_trivet,4,xyz,0.097096,15.173508,0.464389,19.563007
felt_ball_trivet,16,luv,0.115352,21.356885,0.536889,7.414919
felt_ball_trivet,16,rgb,0.190497,23.249965,0.622033,8.852678
felt_ball_trivet,16,xyz,0.179466,19.586480,0.548955,11.647405
felt_ball_trivet,64,luv,0.244476,26.019769,0.663751,4.068050
felt_ball_trivet,64,rgb,0.339669,28.827886,0.766002,4.206520
felt_ball_trivet,64,xyz,0.327785,24.143626,0.677660,6.738249
felt_ball_trivet,256,luv,0.397370,30.212794,0.785196,2.385190
felt_ball_trivet,256,rgb,0.528404,33.853536,0.893934,2.467118
felt_ball_trivet,256,xyz,0.480550,28.560618,0.785830,3.710777
fishing_nets,4,luv,0.064749,14.248653,0.305665,18.829044
fishing_nets,4,rgb,0.150400,16.693561,0.494568,18.042136
fishing_nets,4,xyz,0.135906,15.182070,0.442764,19.774993
fishing_nets,16,luv,0.199553,20.365973,0.603773,7.872538
fishing_nets,16,rgb,0.312620,22.741298,0.786221,8.320328
fishing_nets,16,xyz,0.347917,19.162999,0.779264,13.987840
fishing_nets,64,luv,0.378257,25.561957,0.853830,4.144251
fishing_nets,64,rgb,0.484314,28.557472,0.925475,3.944473
fishing_nets,64,xyz,0.438988,24.380819,0.860227,6.915253
fishing_nets,256,luv,0.529024,29.889426,0.938935,2.491202
fishing_nets,256,rgb,0.631247,33.229058,0.970977,2.408941
fishing_nets,256,xyz,0.572241,29.238550,0.936922,3.451327
