image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim13.png,pw_lab,64,32.484,0.9531,4075.6,193158
kodim13.png,pw_lab_now,64,32.493,0.954,4445.1,193808
kodim13.png,pw_rgb_w,64,34.539,0.9746,4217.1,213228
kodim13.png,pw_lab,128,34.514,0.9711,7433.4,240071
kodim13.png,pw_lab_now,128,34.508,0.9714,7461.5,241183
kodim13.png,pw_rgb_w,128,36.714,0.9837,7629.8,258444
kodim13.png,pw_lab,256,36.451,0.9809,15412.7,296091
kodim13.png,pw_lab_now,256,36.498,0.9815,15592.7,296275
kodim13.png,pw_rgb_w,256,38.828,0.9898,14996.9,313394
kodim14.png,pw_lab,16,26.195,0.7964,1129.9,87681
kodim14.png,pw_lab_now,16,26.384,0.8019,1094.1,85825
kodim14.png,pw_rgb_w,16,27.874,0.8616,1005.8,102142
kodim14.png,pw_lab,32,28.69,0.8757,2043.3,107389
kodim14.png,pw_lab_now,32,28.206,0.871,2041.7,108114
kodim14.png,pw_rgb_w,32,30.258,0.9165,1853.5,128467
kodim14.png,pw_lab,64,30.917,0.9145,4617.5,140657
kodim14.png,pw_lab_now,64,30.864,0.9135,4222.2,140461
kodim14.png,pw_rgb_w,64,32.88,0.9471,3728.3,166399
kodim14.png,pw_lab,128,32.773,0.9425,7779.7,183311
kodim14.png,pw_lab_now,128,32.792,0.9419,7791.2,182538
kodim14.png,pw_rgb_w,128,34.85,0.9642,8807.5,213034
kodim14.png,pw_lab,256,34.808,0.9612,15026.1,237619
kodim14.png,pw_lab_now,256,34.808,0.9614,15542.7,240096
kodim14.png,pw_rgb_w,256,37.015,0.9777,14649.5,266670
kodim15.png,pw_lab,16,27.58,0.7843,1137.5,48645
kodim15.png,pw_lab_now,16,27.558,0.7842,1163.0,48694
kodim15.png,pw_rgb_w,16,28.525,0.8435,1073.7,62574
kodim15.png,pw_lab,32,29.854,0.8413,2067.9,69851
kodim15.png,pw_lab_now,32,29.816,0.8383,2284.2,70275
kodim15.png,pw_rgb_w,32,31.232,0.8964,2206.7,94789
kodim15.png,pw_lab,64,31.896,0.8808,4589.0,98618
kodim15.png,pw_lab_now,64,31.849,0.8797,3922.3,99932
kodim15.png,pw_rgb_w,64,33.866,0.9249,3705.8,121914
kodim15.png,pw_lab,128,34.089,0.9203,7491.7,139210
kodim15.png,pw_lab_now,128,33.854,0.9182,7998.1,139697
kodim15.png,pw_rgb_w,128,35.911,0.9504,7889.7,165011
kodim15.png,pw_lab,256,35.825,0.9464,15138.7,195840
kodim15.png,pw_lab_now,256,36.015,0.9477,15918.4,195245
kodim15.png,pw_rgb_w,256,37.848,0.9694,14404.6,220068
kodim16.png,pw_lab,16,31.302,0.8729,1097.3,72811
kodim16.png,pw_lab_now,16,31.352,0.8741,1090.0,73186
kodim16.png,pw_rgb_w,16,32.246,0.8966,1121.4,80844
kodim16.png,pw_lab,32,34.251,0.9189,2206.3,89338
kodim16.png,pw_lab_now,32,34.272,0.9189,2268.2,89175
kodim16.png,pw_rgb_w,32,35.734,0.9417,1992.2,100220
kodim16.png,pw_lab,64,36.704,0.9483,3805.7,121766
kodim16.png,pw_lab_now,64,36.831,0.9494,3779.4,121751
kodim16.png,pw_rgb_w,64,38.52,0.9665,3694.9,135040
kodim16.png,pw_lab,128,38.725,0.9645,7662.2,158742
kodim16.png,pw_lab_now,128,38.789,0.9655,8622.9,158483
kodim16.png,pw_rgb_w,128,40.841,0.9803,7373.7,178312
kodim16.png,pw_lab,256,40.656,0.9768,14496.6,206603
kodim16.png,pw_lab_now,256,40.635,0.9766,15772.8,207111
kodim16.png,pw_rgb_w,256,42.945,0.9873,15136.1,228981
kodim17.png,pw_lab,16,30.264,0.8559,1309.1,75064
kodim17.png,pw_lab_now,16,30.307,0.8592,1334.2,75220
kodim17.png,pw_rgb_w,16,31.098,0.8932,1177.3,87506
kodim17.png,pw_lab,32,32.621,0.9036,2433.2,106803
kodim17.png,pw_lab_now,32,32.543,0.9017,2062.5,105422
kodim17.png,pw_rgb_w,32,34.127,0.944,1869.3,123793
kodim17.png,pw_lab,64,34.903,0.9378,4212.9,144501
kodim17.png,pw_lab_now,64,34.988,0.9393,3772.7,144738
kodim17.png,pw_rgb_w,64,36.849,0.9648,3850.1,163285
kodim17.png,pw_lab,128,36.976,0.9604,8061.3,191428
kodim17.png,pw_lab_now,128,37.055,0.9601,8292.8,191045
kodim17.png,pw_rgb_w,128,39.089,0.9769,7581.6,209359
kodim17.png,pw_lab,256,38.956,0.9742,16421.7,246265
kodim17.png,pw_lab_now,256,38.774,0.974,15420.8,246519
kodim17.png,pw_rgb_w,256,40.918,0.9854,15726.8,264337
kodim18.png,pw_lab,16,26.665,0.8028,1220.5,90886
kodim18.png,pw_lab_now,16,26.625,0.8028,1219.3,90626
kodim18.png,pw_rgb_w,16,28.373,0.8815,1095.7,117773
kodim18.png,pw_lab,32,28.676,0.8637,2008.2,118894
kodim18.png,pw_lab_now,32,28.656,0.8628,2037.9,118700
kodim18.png,pw_rgb_w,32,30.661,0.9262,1990.8,147983
kodim18.png,pw_lab,64,30.683,0.9067,4112.2,161586
kodim18.png,pw_lab_now,64,30.609,0.9064,3983.0,161474
kodim18.png,pw_rgb_w,64,32.677,0.9507,4034.4,188629
