image,k,space,vif
fruit_dessert,4,luv,0.116434
fruit_dessert,4,rgb,0.128289
fruit_dessert,4,xyz,0.135235
fruit_dessert,16,luv,0.236459
fruit_dessert,16,rgb,0.306001
fruit_dessert,16,xyz,0.235296
fruit_dessert,64,luv,0.372992
fruit_dessert,64,rgb,0.474096
fruit_dessert,64,xyz,0.370965
fruit_dessert,256,luv,0.508302
fruit_dessert,256,rgb,0.621434
fruit_dessert,256,xyz,0.499124
fruit_stand,4,luv,0.118978
fruit_stand,4,rgb,0.237771
fruit_stand,4,xyz,0.194976
fruit_stand,16,luv,0.247230
fruit_stand,16,rgb,0.375483
fruit_stand,16,xyz,0.330698
fruit_stand,64,luv,0.384299
fruit_stand,64,rgb,0.500960
fruit_stand,64,xyz,0.438433
fruit_stand,256,luv,0.515014
fruit_stand,256,rgb,0.622662
fruit_stand,256,xyz,0.548201
fruits,4,luv,0.066423
fruits,4,rgb,0.165012
fruits,4,xyz,0.170302
fruits,16,luv,0.188572
fruits,16,rgb,0.281044
fruits,16,xyz,0.276740
fruits,64,luv,0.311632
fruits,64,rgb,0.418697
fruits,64,xyz,0.380019
fruits,256,luv,0.456623
fruits,256,rgb,0.568335
fruits,256,xyz,0.518338
fruits_veggies,4,luv,0.078530
fruits_veggies,4,rgb,0.177732
fruits_veggies,4,xyz,0.147837
fruits_veggies,16,luv,0.225903
fruits_veggies,16,rgb,0.317044
fruits_veggies,16,xyz,0.281703
fruits_veggies,64,luv,0.342841
fruits_veggies,64,rgb,0.455558
fruits_veggies,64,xyz,0.403398
fruits_veggies,256,luv,0.487714
fruits_veggies,256,rgb,0.600151
fruits_veggies,256,xyz,0.526940
german_hot_air_balloon,4,luv,0.134549
german_hot_air_balloon,4,rgb,0.161054
german_hot_air_balloon,4,xyz,0.149201
german_hot_air_balloon,16,luv,0.294413
german_hot_air_balloon,16,rgb,0.340698
german_hot_air_balloon,16,xyz,0.320207
german_hot_air_balloon,64,luv,0.450915
german_hot_air_balloon,64,rgb,0.521408
german_hot_air_balloon,64,xyz,0.479402
german_hot_air_balloon,256,luv,0.601374
german_hot_air_balloon,256,rgb,0.675731
german_hot_air_balloon,256,xyz,0.625022
girl,4,luv,0.121800
girl,4,rgb,0.146886
girl,4,xyz,0.167331
girl,16,luv,0.268793
girl,16,rgb,0.358842
girl,16,xyz,0.313548
girl,64,luv,0.418874
girl,64,rgb,0.549811
girl,64,xyz,0.511317
girl,256,luv,0.579415
girl,256,rgb,0.703908
girl,256,xyz,0.642446
gourds,4,luv,0.124183
gourds,4,rgb,0.190070
gourds,4,xyz,0.156638
gourds,16,luv,0.246508
gourds,16,rgb,0.341596
gourds,16,xyz,0.303021
gourds,64,luv,0.379321
gourds,64,rgb,0.479923
gourds,64,xyz,0.424436
gourds,256,luv,0.503108
gourds,256,rgb,0.613354
gourds,256,xyz,0.538343
grilled_food,4,luv,0.154234
grilled_food,4,rgb,0.213119
grilled_food,4,xyz,0.193155
grilled_food,16,luv,0.249650
grilled_food,16,rgb,0.340650
grilled_food,16,xyz,0.306602
grilled_food,64,luv,0.380965
grilled_food,64,rgb,0.483634
grilled_food,64,xyz,0.417926
grilled_food,256,luv,0.513214
grilled_food,256,rgb,0.614636
grilled_food,256,xyz,0.528302
hard_candy,4,luv,0.098285
hard_candy,4,rgb,0.162184
hard_candy,4,xyz,0.127457
hard_candy,16,luv,0.169833
hard_candy,16,rgb,0.266367
hard_candy,16,xyz,0.244184
hard_candy,64,luv,0.289537
hard_candy,64,rgb,0.414157
hard_candy,64,xyz,0.369969
hard_candy,256,luv,0.429964
hard_candy,256,rgb,0.566490
hard_candy,256,xyz,0.503377
italian_hot_air_balloon,4,luv,0.058993
italian_hot_air_balloon,4,rgb,0.152683
italian_hot_air_balloon,4,xyz,0.206049
italian_hot_air_balloon,16,luv,0.234269
italian_hot_air_balloon,16,rgb,0.316959
italian_hot_air_balloon,16,xyz,0.310386
italian_hot_air_balloon,64,luv,0.390098
italian_hot_air_balloon,64,rgb,0.468536
italian_hot_air_balloon,64,xyz,0.443203
italian_hot_air_balloon,256,luv,0.527639
italian_hot_air_balloon,256,rgb,0.624155
italian_hot_air_balloon,256,xyz,0.578908
jacksons_chameleon,4,luv,0.077205
jacksons_chameleon,4,rgb,0.176327
jacksons_chameleon,4,xyz,0.191665
jacksons_chameleon,16,luv,0.214086
jacksons_chameleon,16,rgb,0.318778
jacksons_chameleon,16,xyz,0.312543
jacksons_chameleon,64,luv,0.330380
jacksons_chameleon,64,rgb,0.438952
jacksons_chameleon,64,xyz,0.420665
jacksons_chameleon,256,luv,0.467309
jacksons_chameleon,256,rgb,0.574939
jacksons_chameleon,256,xyz,0.527563
king_penguin,4,luv,0.072863
king_penguin,4,rgb,0.125669
king_penguin,4,xyz,0.151713
king_penguin,16,luv,0.256155
king_penguin,16,rgb,0.352675
king_penguin,16,xyz,0.292364
king_penguin,64,luv,0.389361
king_penguin,64,rgb,0.516662
king_penguin,64,xyz,0.475521
king_penguin,256,luv,0.547556
king_penguin,256,rgb,0.660533
king_penguin,256,xyz,0.606960
king_vulture,4,luv,0.037109
king_vulture,4,rgb,0.126562
king_vulture,4,xyz,0.123983
king_vulture,16,luv,0.158216
king_vulture,16,rgb,0.235012
king_vulture,16,xyz,0.244957
king_vulture,64,luv,0.292023
king_vulture,64,rgb,0.404459
king_vulture,64,xyz,0.368867
king_vulture,256,luv,0.438069
king_vulture,256,rgb,0.557322
king_vulture,256,xyz,0.525878
kingfisher,4,luv,0.133314
kingfisher,4,rgb,0.170803
kingfisher,4,xyz,0.171490
kingfisher,16,luv,0.216861
kingfisher,16,rgb,0.305957
kingfisher,16,xyz,0.319817
kingfisher,64,luv,0.344275
kingfisher,64,rgb,0.433650
kingfisher,64,xyz,0.461458
kingfisher,256,luv,0.504046
kingfisher,256,rgb,0.601568
kingfisher,256,xyz,0.588641
korean_dancer,4,luv,0.107015
korean_dancer,4,rgb,0.168478
korean_dancer,4,xyz,0.174730
korean_dancer,16,luv,0.236336
korean_dancer,16,rgb,0.302169
korean_dancer,16,xyz,0.319404
korean_dancer,64,luv,0.366802
korean_dancer,64,rgb,0.474160
korean_dancer,64,xyz,0.479460
korean_dancer,256,luv,0.518640
korean_dancer,256,rgb,0.641604
korean_dancer,256,xyz,0.613422
lights,4,luv,0.119082
lights,4,rgb,0.151047
lights,4,xyz,0.162393
lights,16,luv,0.237913
lights,16,rgb,0.303911
lights,16,xyz,0.270238
lights,64,luv,0.369846
lights,64,rgb,0.442759
lights,64,xyz,0.381341
lights,256,luv,0.496294
lights,256,rgb,0.574993
lights,256,xyz,0.498393
macarons,4,luv,0.060425
macarons,4,rgb,0.123620
macarons,4,xyz,0.112250
macarons,16,luv,0.137339
macarons,16,rgb,0.211953
macarons,16,xyz,0.221786
macarons,64,luv,0.248321
macarons,64,rgb,0.344117
macarons,64,xyz,0.357499
macarons,256,luv,0.377442
macarons,256,rgb,0.498365
macarons,256,xyz,0.464780
macaws,4,luv,0.047781
macaws,4,rgb,0.085297
macaws,4,xyz,0.134430
macaws,16,luv,0.163125
macaws,16,rgb,0.255406
macaws,16,xyz,0.259065
macaws,64,luv,0.286610
macaws,64,rgb,0.431317
macaws,64,xyz,0.408345
macaws,256,luv,0.452650
macaws,256,rgb,0.596942
macaws,256,xyz,0.566688
malayan_banded_pitta,4,luv,0.118080
malayan_banded_pitta,4,rgb,0.184732
malayan_banded_pitta,4,xyz,0.196378
malayan_banded_pitta,16,luv,0.212545
malayan_banded_pitta,16,rgb,0.347357
malayan_banded_pitta,16,xyz,0.346598
malayan_banded_pitta,64,luv,0.343020
malayan_banded_pitta,64,rgb,0.473989
malayan_banded_pitta,64,xyz,0.478825
malayan_banded_pitta,256,luv,0.490592
malayan_banded_pitta,256,rgb,0.621926
malayan_banded_pitta,256,xyz,0.597268
mandarin_ducks,4,luv,0.166391
mandarin_ducks,4,rgb,0.261482
mandarin_ducks,4,xyz,0.210017
mandarin_ducks,16,luv,0.333557
mandarin_ducks,16,rgb,0.456656
mandarin_ducks,16,xyz,0.461743
mandarin_ducks,64,luv,0.482877
mandarin_ducks,64,rgb,0.621460
mandarin_ducks,64,xyz,0.603762
mandarin_ducks,256,luv,0.620659
mandarin_ducks,256,rgb,0.741324
mandarin_ducks,256,xyz,0.717886
mandarinfish,4,luv,0.073070
mandarinfish,4,rgb,0.119307
mandarinfish,4,xyz,0.098347
mandarinfish,16,luv,0.157958
mandarinfish,16,rgb,0.257760
mandarinfish,16,xyz,0.253672
mandarinfish,64,luv,0.259532
mandarinfish,64,rgb,0.381932
mandarinfish,64,xyz,0.371584
mandarinfish,256,luv,0.392892
mandarinfish,256,rgb,0.515573
mandarinfish,256,xyz,0.472893
mangoes,4,luv,0.083473
mangoes,4,rgb,0.128599
mangoes,4,xyz,0.120715
mangoes,16,luv,0.218329
mangoes,16,rgb,0.271053
mangoes,16,xyz,0.294620
mangoes,64,luv,0.368655
mangoes,64,rgb,0.470356
mangoes,64,xyz,0.462596
